food,species,toxicity,toxic_component,symptoms,notes
Chocolate,Both,High,"Theobromine, caffeine","Vomiting, diarrhea, rapid heart rate, seizures, death",Dark chocolate and baking chocolate most dangerous. Even small amounts can be fatal.
Grapes/Raisins,Dog,High,Unknown,"Kidney failure, vomiting, lethargy",Even small amounts can cause kidney failure. Toxicity varies by individual.
Onions/Garlic,Both,Medium-High,N-propyl disulfide,"Anemia, weakness, red/brown urine","All forms (raw, cooked, powder) are toxic. Cats more sensitive than dogs."
Xylitol,Dog,High,Xylitol (artificial sweetener),"Hypoglycemia, liver failure, seizures","Found in gum, candy, peanut butter. Extremely dangerous even in tiny amounts."
Avocado,Both,Medium,Persin,"Vomiting, diarrhea",Pit is choking hazard. Flesh less dangerous but still avoid.
Alcohol,Both,High,Ethanol,"Vomiting, disorientation, coma, death",Never give alcohol. Even small amounts dangerous.
Coffee/Caffeine,Both,High,Caffeine,"Hyperactivity, rapid heart rate, seizures",All caffeinated products dangerous.
Macadamia Nuts,Dog,Medium,Unknown,"Weakness, vomiting, tremors, hyperthermia",Usually not fatal but causes discomfort.
Raw Dough,Both,Medium-High,Yeast,"Bloat, alcohol poisoning (from fermentation)",Expands in stomach. Produces alcohol.
Cooked Bones,Both,High (physical),N/A,"Choking, intestinal blockage, perforation",Can splinter. Never feed cooked bones. Raw bones safer but supervised only.
Dairy Products,Both,Low,Lactose,"Diarrhea, upset stomach",Most pets lactose intolerant. Small amounts usually okay.
Raw Eggs,Both,Low,"Avidin, Salmonella risk","Biotin deficiency (long-term), food poisoning",Cooked eggs are safe and nutritious.
Raw Fish,Cat,Low-Medium,Thiaminase,Thiamine deficiency (if fed regularly),Occasional small amounts okay. Cooked fish is safe.
Salt,Both,Medium,Sodium,"Excessive thirst, sodium poisoning, seizures",Large amounts dangerous. Avoid salty snacks.
Durian,Both,Low-Medium,"High sugar, sulfur compounds","Digestive upset, bloating, bad breath",Not toxic but can cause severe digestive upset. High sugar content.
